duty	tariff	responsibility	15	In June 1845 , the Governor and Council of Assiniboia imposed a 20 per cent duty on imports via Hudson's Bay which were viewed as aimed at the `` very vitals of the Company 's trade and power '' .
region	part	area	10	We assume that average total unit cost in the relevant region of operation is constant with respect to quantity produced ( the average cost curve is horizontal , and therefore is identical with the marginal cost curve ) , and is the same for every firm ( and therefore for the industry ) .
field	discipline	area	2	In the field of the natural sciences , scientifically verified data are quite readily available and any discussion can be shortened with good results .
interpretation	rendition	version	4	Every detail in his interpretation has been beautifully thought out , and of these I would especially cite the delicious landler touch the pianist brings to the fifth variation ( an obvious indication that he is playing with Viennese musicians ) , and the gossamer shading throughout .
sign	polarity	mark	9	Obviously , if colloidal particles bear charges of opposite sign or , if one kind is charged and the other kind is not , the attraction will be intensified and the tendency to agglomerate will be greatly reinforced .
story	tale	floor	4	Those which tell a story of the earth 's formation in each area can add geological interest to the recreation sites .
property	belongings	attribute	3	If you hold property for the production of rents or royalties you subtract , in computing Adjusted Gross Income , ordinary and necessary expenses and certain other deductions attributable to the property .
confirmation	verification	ratification	34	Just as thousands that day in Portugal had seen the sun dancing in the sky , he had seen the same thing later in his own garden , and she turned to Agnese for confirmation .
way	manner	path	11	The statement is often made that when Bultmann argues in this way , he `` overestimates the intellectual stumbling-block which myth is supposed to put in the way of accepting the Christian faith '' .
proportion	dimension	ratio	24	I would propose , first , an abandonment of attempts at a universal lexical list , as intrinsically unachievable , and operationally inadequate in proportion as it is achieved .
step	measure	stair	14	To practice new procedures under guided supervision and with constant feedback is the fourth step .
index	indicator	forefinger	9	Thomas also presents a simple equation for deriving an index of persistence , which weights not only the number of stems ( ' roots ' ) per meaning , but their relative frequency .
illusion	semblance	trick	14	Linking the smoothly changing images together , the eye itself endows them with the illusion of movement .
movement	motion	cause	16	Linking the smoothly changing images together , the eye itself endows them with the illusion of movement .
marriage	matrimony	wedding	8	In a growing number of American homes , marriage counselors report , the wife is taking a commanding role in sexual relationships .
question	interrogation	doubt	10	This sentence would have most of the characteristics of a question , but it has some of the characteristics of a statement because the questioner has conveyed the fact that he has no faith in his own timepiece or the one attached to his car .
position	status	perspective	35	Missionary outreach by friendly contact looks somewhat different when one reflects on what is known about friendly contact in metropolitan neighborhoods ; the majority of such contacts are with people of similar social and economic position ; association by level of achievement is the dominant principle of informal relations .
principle	rule	precept	45	Missionary outreach by friendly contact looks somewhat different when one reflects on what is known about friendly contact in metropolitan neighborhoods ; the majority of such contacts are with people of similar social and economic position ; association by level of achievement is the dominant principle of informal relations .
response	reaction	reply	13	Previous experiences are obviously of great importance for the qualitative and quantitative emotional response .
formulation	preparation	conceptualization	2	A good formulation will keep the clothes clean and white after many washings ; whereas , with a poor formulation , the clothes exhibit a build-up of `` tattle-tale grey '' and dirty spots - sometimes with bad results even after the first wash .
part	component	function	7	Definition of the thighs at the uppermost part is quite commonly seen in most championship Olympic lifters which is easily understandable .
portion	part	percentage	7	Woodbury 's remarks were applauded by a portion of the audience several times and once there was hissing .
resistance	opposition	immunity	40	The Fisher Body division , long controlled by the Fisher brothers under a voting trust even though General Motors owned a majority of its stock , followed an independent course for many years , but by 1947 and 1948 `` resistance had collapsed '' and its purchases from du Pont `` compared favorably '' with purchases by other General Motors divisions .
hearing	earshot	audition	17	The party is usually in a room small enough so that all guests are within sight and hearing of one another .
violence	force	ferocity	17	Now they learn that men can change their surroundings , through their traditional village elders , without violence .
figure	build	number	8	His eyes now fixed on White 's solid figure , Warren could hear behind him the tread of another .
direction	way	instruction	24	Dropping to one knee , Cook felled one , and the other struggled off with his comrade , sending no further fire in his direction .
warmth	heat	fondness	7	The girl crawled out into the renewing warmth of the sunshine , hugging her shoulders and still trembling .
distinction	differentiation	eminence	20	Dives , carefully repaired huts , and nicely painted and ornamented cottages were jumbled together cheek by jowl with little distinction .
run	trial	footrace	5	At the end of the run , the strips in the third and sixth positions in each chamber were dried , stained for 1 hr , washed and dried , while the other strips were maintained in a horizontal position at 1 ` C .
trend	tendency	style	7	In an attempt to reverse the downhill trend by stimulating the bone marrow and controlling any hemolytic component , triamcinolone , 16 mg. daily , was begun on Sept. 26 , 1958 , and continued until Feb. 18 , 1959 .
will	volition	testament	30	Women themselves have come to look upon matters in the same light as the outside world , and scarcely find any wrong in submitting to the importunities of a stronger will , even when their affections are withheld .
memorial	commemoration	monument	7	One day when he attended a war memorial ceremony in Westminster Abbey his view was obstructed by a stout man on his left , his attention turned to the irregular pattern of the rough slab flooring and someone , clasping him by the arm , whispered , `` I want a word with you , please '' .
view	sight	scene	13	One day when he attended a war memorial ceremony in Westminster Abbey his view was obstructed by a stout man on his left , his attention turned to the irregular pattern of the rough slab flooring and someone , clasping him by the arm , whispered , `` I want a word with you , please '' .
pattern	design	rule	30	One day when he attended a war memorial ceremony in Westminster Abbey his view was obstructed by a stout man on his left , his attention turned to the irregular pattern of the rough slab flooring and someone , clasping him by the arm , whispered , `` I want a word with you , please '' .
entrance	entry	entering	18	Ventilation is provided in a concrete block basement shelter by vents in the wall and by the open entrance .
account	story	score	19	There is no more `` plot '' than that ; only slightly more , perhaps , than a newspaper account of such an incident would give .
quality	caliber	character	4	It is in the quality of the teaching of all this that a question may arise .
origin	root	descent	12	Now , with virtually every writer , not only was the European origin of public law acknowledged as a historical phenomenon , but the rules thus established by the advanced civilizations of Europe were to be imposed on others .
toilet	bathroom	sewer	4	A lock on the toilet would encourage malingering and primping .
setting	scene	context	19	Thorpe came to Louisiana from the East as a young man prepared to find in the new country the setting of romantic adventure and idealized beauty .
earth	ground	world	22	Then we drove on , until there was no more road and we traversed dry rice fields , bouncing across their squat earth walls .
case	example	lawsuit	3	Another less ambiguous case read as follows : `` The bearer of this letter has served me for two years to his complete satisfaction .
atmosphere	ambience	air	22	The giant electric signs and marquees were lit up for the first time since blackout regulations had been instituted , and the atmosphere was alive with the feeling that victory was just around the corner .
phase	stage	form	7	Cubism , in its 1911 - 1912 phase ( which the French , with justice , call `` hermetic '' ) was on the verge of abstract art .
verge	brink	scepter	24	Cubism , in its 1911 - 1912 phase ( which the French , with justice , call `` hermetic '' ) was on the verge of abstract art .
safety	guard	refuge	5	Warren eased his rifle 's safety off and gently , slowly sneaked another clip of ammunition from one of the cloth bandoleers that marked the upper part of his body with an X .
picture	painting	characterization	43	Instead of isolating the literal flatness by specifying and circumscribing it , the pasted paper or cloth releases and spreads it , and the artist seems to have nothing left but this undepicted flatness with which to finish as well as start his picture .
authorization	mandate	authority	8	recommend to the Congress from time to time authorization for construction and operation , or for participation in the construction and operation , of a demonstration plant for any process which he determines , on the basis of subsections ( a ) and ( b ) above , has great promise of accomplishing the purposes of this Act , such recommendation to be accompanied by a report on the size , location , and cost of the proposed plant and the engineering and economic details with respect thereto ;
construction	building	structure	10	recommend to the Congress from time to time authorization for construction and operation , or for participation in the construction and operation , of a demonstration plant for any process which he determines , on the basis of subsections ( a ) and ( b ) above , has great promise of accomplishing the purposes of this Act , such recommendation to be accompanied by a report on the size , location , and cost of the proposed plant and the engineering and economic details with respect thereto ;
rise	ascension	boost	30	Brevet Major General George Armstrong Custer was the regiment 's first permanent commander and , like such generals as George S. Patton and Terry de la Mesa Allen in their rise to military prominence , Custer was a believer in blood and guts warfare .
spot	place	stain	20	Howard , who had been sitting against the wall , said he needed more fresh air , and took the spot on the edge of the porch where Bobby Joe had been sitting .
result	consequence	solution	15	The trade in a few commodities noted above was to grow in volume as a result of changes both north and south of the 49 th parallel .
conception	creation	invention	6	This condition affects not only the conception but also the legislative and financial support of foreign policy , especially in the context of economic aid .
view	opinion	horizon	4	Blockade , in the view of military and civilian experts , could restore teeth to the Monroe Doctrine .
measure	amount	standard	19	The ultimate objective of American policy is to help establish a world in which there is the largest possible measure of freedom and justice and peace and material prosperity ; and in particular - since this is our special responsibility - that these conditions be enjoyed by the people of the United States .
store	shop	stock	15	Accounting procedures which continue to charge a disproportionate overhead and warehouse expense to the main store make the branches seem more profitable than they are .
opinion	view	ruling	3	It was the opinion of some of us that these must be part of the Committeemen who had been in the Battle of the North Bridge , which entitled them to a sort of veteran status , and we felt that if they employed this tactic , it was likely enough the best one .
use	utilization	consumption	1	The use of high voltages and low currents by proper design to reduce electron heat transfer to the anode for a given power output .
agreement	correspondence	accord	21	We then outline the theory of the interaction of paramagnetic dipoles with nuclei and show that the theory is in excellent agreement with experiment .
show	display	appearance	9	There were seven of them , enough for a show of strength - to run a bluff .
part	section	share	2	The first part of the new structure - that for supporting the basic program of vocational rehabilitation services - is described in this Section .
curiosity	wonder	peculiarity	19	In his mood , it was the best way to handle him ; that is , to show no curiosity whatsoever .
look	expression	feeling	34	Muller , nakedly exposed at the bright window like a deer pinned in a car 's headlights , threw down the rifle and turned to jump from the table ; his face wore a look of outrage .
outrage	indignation	scandal	36	Muller , nakedly exposed at the bright window like a deer pinned in a car 's headlights , threw down the rifle and turned to jump from the table ; his face wore a look of outrage .
recognition	acknowledgement	identification	17	He worked in oil for years before beginning his work in watercolor , and his first public recognition and early honors , including his election to the Academy , were for his essays in the heavier medium .
question	doubt	inquiry	4	Although there is no question but that the process of washing fabrics involves a number of phenomena which are related together in an extremely complicated way and that these phenomena and their interrelations are not well understood at the present , this section attempts to present briefly an up-to-date picture of the physical chemistry of washing either fabrics or hard surfaces .
beginning	start	origin	11	After a flood of protests , they were reinstated at the beginning of 1953 .
section	segment	division	37	Cousin Joshua and some others felt that we should march toward Lexington and take up new positions ahead of the slow-moving British column , but another group maintained that we should stick to this spot and this section of road .
relish	zest	flavor	8	But the brigadier dines on the birds with relish .
appeal	charm	solicitation	4	Historically in America the appeal of cities has been their color and life , the variety of experience they offered .
soil	dirt	territory	7	For my seedbed I use good garden soil with a little sand added to encourage rooting .
ground	earth	reason	14	The safest place is the basement corner least exposed to windows and deepest below ground .
passage	enactment	passing	18	But questions with which committee members taunted bankers appearing as witnesses left little doubt that they will recommend passage of it .
argument	arguing	argumentation	17	When Hudson had finished , the `` town meeting '' broke down into a general , wordy argument .
chance	hazard	opportunity	36	There is a well-known relationship between probability and entropy which states that * * f , where \q is the probability that state ( i.e. , volume for an ideal gas ) could be reached by chance alone .
remainder	rest	end	1	The remainder of the cast fulfilled its assignments no more than satisfactorily just as the old production and limited stage direction proved only serviceable .
sum	amount	total	5	the Yugoslav Claims Fund the sum of $ 17000000 being the amount paid by the Government of the Federal People's Republic of Yugoslavia pursuant to the Yugoslav Claims Agreement of 1948 ;
charm	appeal	spell	18	It 's somewhat off the beaten track , to be sure , but therein lies its variety and charm .
area	region	domain	20	The myocardium of the posterior base of the left ventricle was replaced by gray scar tissue over a 7.5 cm. area .
honor	laurels	purity	25	In her letter to John Brown , `` E. B. '' , the Quakeress from Newport , had suggested that the American people owed more honor to John Brown for seeking to free the slaves than they did to George Washington .
means	way	substance	48	Nor have we remembered that in the melting pot of America the hundreds of isolated and semi isolated ethnic , regional and occupational groups did not fuse into a homogeneous national unit until long after education and industrialization had caused them to cast oral tradition aside as a means of carrying culturally significant material .
establishment	institution	constitution	3	The official military establishment can only threaten to use its nuclear arms ; it cannot bring them into actual play .
purpose	aim	function	20	The amount which may be borrowed from the SBA depends on how much is required to carry out the intended purpose of the loan .
world	universe	public	21	There have been , indeed , many important and valuable gains from the development of our present scientific view of the world for which we may be rightly grateful .
appointment	designation	engagement	1	The appointment of U Thant of Burma as the U.N.'s Acting Secretary General - at this writing , the choice appears to be certain - offers further proof that in politics it is more important to have no influential enemies than to have influential friends .
choice	selection	alternative	19	The appointment of U Thant of Burma as the U.N.'s Acting Secretary General - at this writing , the choice appears to be certain - offers further proof that in politics it is more important to have no influential enemies than to have influential friends .
route	path	road	13	Botulinal toxin , for example , is several thousand-fold more toxic by this route than when given per os .
paper	report	newspaper	17	This can be justified thermodynamically in this case , and this will be done in a separate paper which is being prepared .
culture	civilization	refinement	16	Nor is it necessary to look for such evidence in the great urban centers of our culture that are admittedly almost entirely secularized and so profoundly estranged from the conventional forms in which the gospel has been communicated .
world	public	universe	12	What more could be asked for a Trial intended to warn the world against anti-Semitism than this opportunity to expose the exact link between the respectable anti-Semite and the concentration-camp brute ?
act	routine	deed	1	The act , cut to shreds and hastily patched together during the afternoon , had not been rehearsed sufficiently by anyone .
conclusion	determination	ending	33	Helen Deutsch informed us ( The Psychology of Women , Vol. 2 , , 434 ) that in all cultures `` the term ' stepmother ' automatically evokes deprecatory implications '' , a conclusion accepted by many .
test	exam	trial	35	This is n't surprising when we consider that over 29 percent of the 11 - year old boys in America cannot chin themselves once , and that English school girls outdo them in almost every test ( even dashes and endurance ) .
number	act	figure	11	`` Ladies and gentlemen , in place of my regular closing number tonight , I 'd like to sing something of a different nature for you .
source	generator	root	4	He looked for the source of the noise that had awakened him * * h It was that prick Coughlin .
cause	movement	grounds	28	Resolved that , while we most decidedly disapprove the methods he adopted to accomplish his objects , yet in his willingness to die in aid of the great cause of human freedom , we still recognize the qualities of a noble nature and the exercise of a spirit which true men have always admired and which history never fails to honor .
part	region	portion,	19	He was born in the small Danish town of Rudkoebing on the island of Langeland in the south central part of Denmark on August 14 , 1777 .
seat	place	posterior	21	( Music often sounds best to me when I can dress informally and sit in something more comfortable than a theatre seat . )
appreciation	grasp	admiration	10	In these rapidly changing societies there is also too little appreciation of the need for effort to achieve goals .
function	role	procedure	17	Today the private detective will also investigate insurance claims or handle divorce cases , but his primary function remains what it has always been , to assist those who have money in their unending struggle with those who have not .
will	testament	volition	10	He asked to see a copy of Mrs. Meeker 's will .
note	line	bill	3	He left a note propped on the desk asking her to call him sometime today , and drove home .
agency	authority	delegacy	7	The Farm Credit Administration , an independent agency located within the Department of Agriculture , supervises and coordinates a cooperative credit system for agriculture .
spark	flicker	light	26	No matter how devoted a man was , no matter how fully he gave his life to the Lord , he could never extinguish that one spark of pride that gave him definition as an individual .
control	mastery	dominance	16	Just as exciting but in a more technically proficient way is Laura Stuart , whose complete control of her every movement is lovely to watch .
movement	motion	drift	20	Just as exciting but in a more technically proficient way is Laura Stuart , whose complete control of her every movement is lovely to watch .
luck	fate	chance	22	His money was tied up in a Nassau hotel , an Ohio pottery works , and a detergent for window-washing , and luck had been running against him .
rest	remainder	relaxation	4	The applicant pays the rest of the cost , but his own time spent on the work and charges for the use of equipment which he owns may be applied toward his share of the cost .
contempt	disdain	disrespect	15	Although he is perfectly willing to cooperate with Scotland Yard , Holmes has nothing but contempt for the intelligence and mentality of the police .
leap	spring	jump	19	Having volunteered that he was a man of about sixty , he bounded up the stairs and with each leap rendered the number less credible .
case	lawsuit	example	16	On the basis of the findings which led to this conclusion , the Court remanded the case to the District Court to determine the appropriate relief .
heap	mound	mass	20	Also , she lived in continual fear of finding a white worm curled up in a neat , mean little heap at the white center of the radish .
center	middle	essence	24	Also , she lived in continual fear of finding a white worm curled up in a neat , mean little heap at the white center of the radish .
course	class	track	10	The American Institute of Interior Designers has published a recommended course for designers and a percentage layout of such a course .
bearing	presence	aim	11	Like Eliot , in my fantasies , I had a proud bearing and , with a skill that was vaguely continental , I would lead Jessica through an evening of dancing and handsome descriptions of my newest exploits , would guide her gently to the night 's climax which , in my dreams , was always represented by our almost suffocating one another to death with deep , moist kisses burning with love .
feeling	impression	tone	8	You explain , `` I have the strangest feeling of having lived through this very same event before .
result	outcome	solution	11	As a matter of fact , the incorrect classification , the result of many weeks of labor by Dr. Hilprecht , was about to be published by him the following day .
circumstance	setting	consideration	20	He will know that general policy papers written months before may not fit his problem because of crucial changes in circumstance .
end	goal	conclusion	21	Research and development activities undertaken by the Secretary shall be coordinated or conducted jointly with the Department of Defense to the end that developments under this Act which are primarily of a civil nature will contribute to the defense of the Nation and that developments which are primarily of a military nature will , to the greatest practicable extent compatible with military and security requirements , be available to advance the purposes of this Act and to strengthen the civil economy of the Nation .
decoration	ornament	medallion	11	The vases which resulted had different shapes , far more complex decoration , and a larger sense of style .
scent	odor	fragrance	21	He was freshly shaved , and if there had been any alcohol in him we could never have missed detecting some scent of it on the massive gusts of his laughter .
total	amount	aggregate	28	The New York Central has pointed out that this control , if approved by the Interstate Commerce Commission , would give the combined C.+O. - B.+O. Railroad a total of 185 points served in common with the New York Central .
torture	torment	distortion	17	He and Mary would no longer have to tear and rend at each other ; their mutual torture would be over .
settlement	village	resolution	15	His trading goods came from Canada to the Forks of Red River and from Selkirk's settlement he brought them south in carts .
chance	opportunity	fortune	11	He meant to say more , but he never got the chance .
master	original	professional	21	In some of the numbers the instrumental parts have even been recorded at different times and then later combined on the master tape to produce special effects .
comfort	consolation	ease	21	Then he took off his wet boots and dropped down into the water to talk with the beasts , needing their comfort more than they needed his .
mind	judgement	thinker	18	`` He works for my father '' , the girl said , and then seemed to change her mind .
lot	fate	batch	11	Debate is not likely to resolve the tensions and make the lot of the stepchild a happier one .
subject	content	discipline	30	The `` moving '' picture of the train or the wave coming at the audience is , to be sure , more intense than a still picture of the same subject , but the difference is really one of degree ; the cinematic element of time is merely used to increase the realism of an object which would still be reasonably realistic in a still photo .
sustenance	nourishment	support	25	He does n't think that potting them from a deck chair on the south side of the house with a quart glass of beer for sustenance is entirely sporting .
role	function	part	19	I am not aware of great attention by any of these authors or by the psychotherapeutic profession to the role of literary study in the development of conscience - most of their attention is to a pre-literate period of life , or , for the theologians of course , to the influence of religion .
wish	want	regard	28	As I have been intimating , in the schizophrenic - and perhaps also in the dreams of the neurotic ; this is a question which I have no wish to take up - condensation is a phenomenon in which one finds not a condensed expression of various feelings and ideas which are , at an unconscious level , well sorted out , but rather a condensed expression of feelings and ideas which , even in the unconscious , have yet to become well differentiated from one another .
expression	manifestation	aspect	44	As I have been intimating , in the schizophrenic - and perhaps also in the dreams of the neurotic ; this is a question which I have no wish to take up - condensation is a phenomenon in which one finds not a condensed expression of various feelings and ideas which are , at an unconscious level , well sorted out , but rather a condensed expression of feelings and ideas which , even in the unconscious , have yet to become well differentiated from one another .
level	stage	layer	56	As I have been intimating , in the schizophrenic - and perhaps also in the dreams of the neurotic ; this is a question which I have no wish to take up - condensation is a phenomenon in which one finds not a condensed expression of various feelings and ideas which are , at an unconscious level , well sorted out , but rather a condensed expression of feelings and ideas which , even in the unconscious , have yet to become well differentiated from one another .
earth	land	world	22	His pictures generalize , though they are inspired by a particular locale ; they universalize in terms of weather , skies , earth , and people .
post	position	station	10	What is interesting is that his positive qualifications for the post were revealed only as a kind of tail to his candidacy .
agreement	accord	arrangement	26	This section prevents the military departments and the Office of Civil and Defense Mobilization from carrying out certain transactions involving real property unless they come into agreement with the Committees on Armed Services of the Senate and the House of Representatives .
condition	stipulation	status	44	Now time is also the concern of the fictional narrative , which is , at its simplest , the story of an action with , usually , a beginning , a middle , and an end - elements which demand time as the first condition for their existence .
land	ground	realm	9	For less than a dozen miles from the unplowed land of the dead man lived another settler who had ignored the warnings that his existence might be foreclosed on - a blatant and defiant rustler named Fred Powell .
reservation	reserve	booking	5	A tale of a massive reservation in the Uplands to hold several million Jews .
discipline	field	correction	13	Anthropologists , housewives , historians and such by profession , they approach their discipline as amateurs , collectors , commercial propagandists , analysts or some combination of the four .
globe	earth	orb	6	`` in many corners of the globe '' , he said , `` the major source of impressions about this country are in the movies they meet .
affair	matter	liaison	18	Even two or three years ago I doubt that she 'd have become involved in this unfortunate Johnston affair .
regard	respect	gaze	46	The underlying assumption , of course , is that only sight and touch enable us , in any precise and fully dependable way , to locate objects in space beyond us , the other senses being decidedly inferior , if not totally inadequate , in this regard .
interruption	disruption	pause	15	However well chosen and cleverly arranged , such memorabilia unfortunately amounted to more of an interruption than an auxiliary to the evening 's main business , which ( considering the talent at hand ) should probably have been the gathering of fresh samples of the Chicago style .
scent	perfume	odor	49	I have no picture in my mind of the garden as a whole - that I could not see - but certain aspects of certain corners linger in the memory : wind-blown , frost-bitten , white chrysanthemums beneath a window , with their brittle brown leaves and their sharp scent of November ; ripe pears lying in long grass , to be turned over by a dusty slippered foot , cautiously , lest bees still worked in the ragged , brown edged holes ; hot colored verbenas in the corner between the dining-room wall and the side porch , where we passed on our way to the pump with the half gourd tied to it as a cup by my grandmother for our childish pleasure in drinking from it .
part	role	contribution	15	Her impact in the ZING commercials had led to her being considered for an excellent part in an upcoming TV series , Underwater Western Eye , a documentary type show to be sponsored by Oatnut Grits .
speech	address	language	6	At the close of Davis ' speech the following preamble and resolutions were read by the president , and on the question of their adoption passed unanimously :
intersection	crossroad	overlap	9	They had lunch at a sidewalk cafe overlooking the intersection of two broad , busy , unpicturesque streets , and coming home they got lost in the Metro ; it took them over an hour to get back to the station where they should have changed , in order to take the line that went to the Place Redoute .
source	origin	generator	8	Also , it has been suggested that the source of all or part of the dust may not be the same as that for visual or radar meteorites ( Best , 1960 ) , and the same distribution would not be expected .
young	offspring	youth	28	He concluded that in the southern species , which are rapidly growing types , females mate at the age of two and a half and bear the first young when they are three .
prize	award	trophy	14	Each person votes for one of a pair of pictures to receive a popular prize .
incarnation	embodiment	personification	5	Abraham Lincoln emerged as an incarnation of the national Constitution .
specialty	strength	specialization	14	The story is of a famous strip cartoonist , an arty individual , whose specialty is the American boy and who adopts a 10 - year old to provide him with fresh idea material .
position	place	posture	6	The wrong man in the wrong position , perhaps even in a junior position abroad , can be a source of great harm to our policy ; the attitudes of a U.N. delegate who experiences difficulty in finding adequate housing in New York City , or of a foreign diplomat in similar circumstances in our Capital , can be easily be directed against the United States and all that it stands for .
volume	book	intensity	6	Of the longer pieces of the volume none is so memorable as `` Nameless and Immortal '' , which at once took rank among the finest poems ever written in the Swedish language .
piece	composition	bit	3	Moreover , the piece is written in five movements , rather than the conventional four of most quintets , and this gives the opus a serenade or divertimento flavor .
stress	tension	emphasis	29	Even more complex and obviously cortically induced forms of emotional arousal could be elicited in monkey A on seeing monkey B ( but not a rabbit ) in emotional stress .
grade	tier	degree	21	When now we count the frequency of the 71 items in the two language families appearing in the same column or grade , or one column or grade apart , or two or three or four , we find these differences : * * f This distribution can be summarized by averaging the distance in grades apart : * * f ; which , divided by * * f gives a mean of 1.07 grades apart .
enactment	passage	act	20	Legislation has already been proposed to authorize the sale of these Government owned systems in Alaska , and its early enactment is desirable .
competition	contest	rivalry	14	After all , we did pretty well in some other areas of the Olympics competition .
class	category	course	15	He was elected to the National Academy of Design as an Associate in the oil class in 1931 ( after receiving his first Ranger Fund Purchase Prize at the Academy in 1930 ) , and elevated to Academicianship in 1940 .
establishment	constitution	administration	22	The day following his intervention the palace issued a statement reassuring the citizens that `` the possibility of introducing appeals concerning the establishment of electoral lists , lists of candidates and finally the holding of the consultation itself '' would be supported by the King himself .
sum	essence	total	16	Twenty years ago , she would have been known as a golf widow , and the sum of her manner was perhaps one of bereavement .
trace	shadow	hint	11	No doubt some experiences vanish so completely as to leave no trace on the sleeper 's mind .
path	way	route	6	I followed a shrubbery lined gravel path alongside the house to the pool .
organization	system	formation	6	the aspect of learning the internal organization of obvious natural genetic groups of languages as well as their more remote and elusive external links ; of classification first , with elapsed age merely a by-product ; of acquiring evidential knowledge of what happened in Athabascan , in Yokuts , in Uto-Aztecan in the last few thousand years as well as forecasting what more anciently may have happened between them .
spirits	liquor	feeling	5	`` I 'll get the spirits '' , Ma said .
restraint	control	constraint	7	Finally , since the public requires some restraint on the part of the companies , larger wage increases call for less than proportionately larger price increases ( e. g. , if a wage increase of 5 % allows a price increase of 7 % , a wage increase of 10 % allows a price increase of something less than 14 % ) .
subject	topic	field	28	We may then dismiss the time difference between these courses and the usual four year course of the interior design student as not having serious bearing on the subject .
story	floor	account	11	There remained a family named Kahler , owners of a two story Tudor style house on the south side of the Andrus home .
politeness	niceness	civility	8	She greeted her husband 's colleagues with smiling politeness , offering nothing .
language	words	speech	25	When Heidegger and Sartre speak of a contrast between being and existence , they may be right , I do n't know , but their language is too philosophical for me .
content	substance	subject	1	The content of his words may lapse back into monotonous repetition , as if a phonograph needle were stuck in one groove ; only seldom is it so simple as to be a matter of his obviously parroting some timeworn axiom , common to our culture , which he has evidently heard , over and over , from a parent until he experiences it as part of him .
